avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
23891,1.55E+10,1.13E+09,7.10E+07,827303.9091,0,0,160.8181818,9619104.818,895746,11,3985.363636,0,1,25944.72727,0,260,54.63636364,2133.545455,5.96E+07,309.4545455,5464133.636,9016.454545,812163.4545,application_1553590289946_0028,2725151
42491.90909,1.54E+10,1.13E+09,5.59E+07,654683.8182,0,0,186.9090909,1.12E+07,874851,11,10104.36364,0,1.545454545,25944.63636,0,283.9090909,40.27272727,1402.818182,5.01E+07,309.4545455,4096028.909,9016.454545,609625.4545,application_1553590289946_0171,3702957
20798.72727,1.61E+10,1.12E+09,1.16E+08,836559.1818,0,0,20.72727273,5364066,1823150,11,965.6363636,0,3.818181818,25944.72727,0,209.0909091,108.7272727,2139.454545,7.49E+07,309.4545455,977747.3636,9016.454545,1304476.455,application_1553590289946_0327,3531905
87003.81818,1.47E+10,1.14E+09,6.83E+07,836322.0909,0,0,267.2727273,1.34E+07,875429,11,17999.18182,0,2.909090909,25944.45455,0,293.4545455,33.36363636,1749.090909,6.34E+07,309.4545455,9290236.273,9016.454545,541081.2727,application_1553590289946_0510,4028048
21897.63636,1.88E+10,1.12E+09,7.23E+07,644083.6364,0,0,21.81818182,5121606.364,979389,11,960.7272727,0,4,25944.72727,0,208.9090909,108.3636364,1214.727273,4.87E+07,309.4545455,793028.5455,9016.454545,1016403.455,application_1553590289946_0718,3595558
19165.36364,1.57E+10,9.55E+08,7.94E+07,642842,0,0,21.27272727,6151237.636,1105070,11,712.9090909,0,5,25944.72727,0,259.3636364,54,2088.454545,6.70E+07,309.4545455,707207.4545,9016.454545,1795068.455,application_1553590289946_0925,4421358
24611.45455,1.36E+10,1.14E+09,6.96E+07,827303.9091,0,0,22.81818182,5103712.545,884194,11,8372.909091,0,0.727272727,25944.63636,0,208.9090909,107.7272727,1324.636364,4.69E+07,309.4545455,1710615.182,9016.454545,700527.7273,application_1553590289946_1157,4535430
20585.81818,1.01E+10,1.13E+09,1.53E+08,836322.1818,0,0,14.81818182,5337992.636,1877989,11,8699.090909,0,4.818181818,25944.72727,0,209.8181818,108.1818182,1037.363636,1.04E+08,309.4545455,1190756.909,9016.454545,2333132.545,application_1553590289946_1441,6248716
170887.8182,1.68E+10,1.13E+09,5.96E+07,636505.9091,0,0,369.7272727,1.41E+07,1027463,11,8355.545455,0,3.636363636,25943.63636,0,295.3636364,16.54545455,1581.727273,5.70E+07,309.4545455,1.51E+07,9016.454545,1375216,application_1553590289946_1749,3452961
14333.81818,1.15E+10,9.40E+08,5.51E+07,647547.4545,0,0,18.36363636,4311097.182,906782,11,671.5454545,0,2,25944.72727,0,208.6363636,107.6363636,1433.363636,3.69E+07,309.4545455,608296.3636,9016.454545,570324.7273,application_1553590289946_1980,9619777
87849.81818,1.50E+10,1.14E+09,7.45E+07,827303.9091,0,0,227.0909091,1.07E+07,925843,11,13251.27273,0,1.363636364,25944.72727,0,280.1818182,39.54545455,2401.181818,6.83E+07,309.4545455,1.12E+07,9016.454545,1113804.273,application_1553590289946_2496,3719671
15089,1.28E+10,9.40E+08,6.74E+07,827566.5455,0,0,23.90909091,4659205.091,896660,11,613.9090909,0,1.363636364,25944.72727,0,208.5454545,107.5454545,1186.181818,4.51E+07,309.4545455,608839.8182,9016.454545,506963.9091,application_1553590289946_2715,6479506
152932.9091,1.68E+10,1.13E+09,7.02E+07,637350.1818,0,0,277.5454545,1.21E+07,917230,11,12299.90909,0,3.181818182,25944.72727,0,291.3636364,29.54545455,2008.181818,6.46E+07,309.4545455,6708400.909,9016.454545,908249.0909,application_1553590289946_3134,3790296
26843.27273,1.04E+10,1.14E+09,7.80E+07,651657.7273,0,0,21.63636364,5612164.455,971659,11,13498,0,1.090909091,25944.72727,0,212.2727273,113.5454545,1930.727273,5.51E+07,309.4545455,1301489.545,9016.454545,1561585,application_1553590289946_3331,6599476
80387.45455,1.93E+10,1.13E+09,6.99E+07,836559.0909,0,0,181.7272727,9431444,922640,11,3097.909091,0,4.818181818,25944.45455,0,263.8181818,65.90909091,1732.272727,6.03E+07,309.4545455,3906985.091,9016.454545,665482,application_1553590289946_3741,3568696
15098.72727,1.20E+10,9.79E+08,7.12E+07,652511.4545,0,0,16.18181818,5153810.818,921036,11,979,0,1.636363636,25944.72727,0,209.0909091,108.3636364,1216.818182,4.78E+07,309.4545455,3638200.818,9016.454545,940045.5455,application_1553590289946_3953,3704518
62423.54545,1.75E+10,1.14E+09,6.75E+07,827566.5455,0,0,185.8181818,8238929.818,898606,11,18603.09091,0,3.545454545,25944.72727,0,262.0909091,58,1952,5.77E+07,309.4545455,7548497,9016.454545,518336.3636,application_1553590289946_4145,4136504
17617.54545,1.27E+10,1.04E+09,7.01E+07,836582.0909,0,0,13,4326691.182,924590,11,3838.636364,0,1.090909091,25944.72727,0,210.3636364,108.5454545,1535.909091,4.92E+07,309.4545455,643867.2727,9016.454545,678711.1818,application_1553590289946_4373,6668111
46825.18182,1.72E+10,1.12E+09,1.28E+08,647910.6364,0,0,192.1818182,1.15E+07,1781643,11,3686.090909,0,1.818181818,25944.63636,0,278.4545455,37.45454545,1019.545455,1.13E+08,309.4545455,2.00E+07,9016.454545,1686295.182,application_1553590289946_4776,2817907
17269.81818,9.84E+09,1.12E+09,6.88E+07,636098.6364,0,0,21.54545455,4656624.909,941488,11,5116,0,1.909090909,25944.72727,0,208.1818182,104.7272727,1613.545455,4.52E+07,309.4545455,460599.8182,9016.454545,784544.6364,application_1553590289946_4937,8864060
35559.18182,1.55E+10,1.13E+09,1.33E+08,836322.1818,0,0,160.1818182,1.01E+07,1906880,11,1330.363636,0,4,25944.63636,0,269.0909091,58.27272727,1833,1.13E+08,309.4545455,4330414.182,9016.454545,2587243.455,application_1553590289946_5353,3089556
13555.09091,1.01E+10,9.70E+08,7.60E+07,827303.9091,0,0,23.45454545,5996249.273,939834,11,950.8181818,0,1,25944.72727,0,209.2727273,107.8181818,1907.181818,5.15E+07,309.4545455,1114472.909,9016.454545,1246869.727,application_1553590289946_5515,4286007
115967.5455,1.78E+10,1.14E+09,1.16E+08,647339.7273,0,0,196.0909091,9820084.182,1709058,11,30210.63636,0,3.636363636,25944.72727,0,287.2727273,42,1277.454545,1.03E+08,309.4545455,5241024.091,9016.454545,599181.3636,application_1553590289946_5730,4082622
25827.36364,1.74E+10,1.13E+09,6.96E+07,635436.5455,0,0,137.9090909,9791781.455,956521,11,5646.727273,0,3.363636364,25944.72727,0,276.4545455,37.45454545,1444.454545,6.15E+07,309.4545455,725813.7273,9016.454545,875756.3636,application_1553590289946_5987,3674447
18664.45455,1.58E+10,1.05E+09,1.90E+08,836322.1818,0,0,21.54545455,5052249.636,2464448,11,964.4545455,0,1.454545455,25944.72727,0,208.3636364,107.2727273,840.0909091,1.27E+08,309.4545455,1634675.455,9016.454545,497370.8182,application_1553590289946_6185,3574252
176072,1.61E+10,1.13E+09,6.87E+07,827303.9091,0,0,460.2727273,4.68E+07,876803,11,4788.636364,0,4.272727273,25944.72727,0,301.8181818,19.72727273,2339.363636,6.63E+07,309.4545455,1.63E+07,9016.454545,625794.4545,application_1553590289946_6379,3550145
68814.81818,1.78E+10,1.14E+09,7.58E+07,645771.0909,0,0,158.2727273,8834859.182,1039642,11,15818.81818,0,3.181818182,22701.18182,0,266.1818182,55.90909091,1564.090909,6.19E+07,309.4545455,7984635.273,9016.454545,1387284.727,application_1553590289946_6580,3304121
15781.09091,1.38E+10,1.13E+09,8253963.818,657201.4545,0,0,24.63636364,6285038.545,101130,11,711.1818182,0,1.545454545,25944.72727,0,194.7272727,42,18.81818182,6876973.273,232.0909091,1647114.818,9016.454545,742690.9091,application_1553590289946_6820,3394315
42168.81818,1.68E+10,1.14E+09,8.64E+07,827566.5455,0,0,32.36363636,5299214.455,1158723,11,16933.54545,0,3.454545455,25944.63636,0,229.2727273,115.2727273,2435.545455,6.42E+07,309.4545455,960784.4545,9016.454545,2124869.636,application_1553590289946_7027,5721459
22230.09091,1.48E+10,1.13E+09,7.51E+07,836582.0909,0,0,151.6363636,1.34E+07,988341,11,2149.454545,0,3.272727273,25944.72727,0,289.7272727,22.36363636,2607.454545,7.02E+07,309.4545455,1060547.545,9016.454545,1072105.273,application_1553590289946_7328,3005964
15487.54545,1.28E+10,9.48E+08,5.37E+07,632856.9091,0,0,16.36363636,4635475.636,869454,11,666.1818182,0,0.727272727,25944.72727,0,208.9090909,108.3636364,1054.636364,3.61E+07,309.4545455,701245.4545,9016.454545,552453.7273,application_1553590289946_7528,3592928
18601.18182,1.44E+10,1.13E+09,8.69E+07,647368.0909,0,0,26.81818182,7020653.909,1872946,11,712.0909091,0,1.636363636,25944.72727,0,266.2727273,57.36363636,1753.454545,7.36E+07,309.4545455,3592443.636,9016.454545,2587242.273,application_1553590289946_7735,3263259
35799.72727,1.42E+10,1.14E+09,7.14E+07,836582.0909,0,0,31.27272727,4927575.909,941461,11,18582,0,1.818181818,25944.63636,0,208.6363636,107.4545455,986.7272727,4.79E+07,309.4545455,963022.0909,9016.454545,784544.6364,application_1553590289946_7896,6081165
23806.27273,1.44E+10,1.13E+09,6.82E+07,827566.5455,0,0,153.6363636,1.23E+07,908390,11,3858.363636,0,6,25944.63636,0,289.6363636,22.45454545,1900.727273,6.37E+07,309.4545455,1008993.091,9016.454545,578834.7273,application_1553590289946_8232,3235570
14970.09091,1.30E+10,9.40E+08,1.23E+08,652051.5455,0,0,15.09090909,5947130.727,1746340,11,693.2727273,0,2,25944.72727,0,209.0909091,108.7272727,842.3636364,8.34E+07,309.4545455,3346365.455,9016.454545,1185675.091,application_1553590289946_8442,3564140
15852.36364,1.17E+10,1.13E+09,5.40E+07,649309.9091,0,0,25.45454545,5243658.182,898621,11,1846.363636,0,1.909090909,25944.72727,0,260,54.36363636,1637,4.55E+07,309.4545455,800455.4545,9016.454545,518336.3636,application_1553590289946_8651,3974485
19949.09091,1.52E+10,1.11E+09,7.25E+07,827303.9091,0,0,21.81818182,5299843.545,908807,11,960.4545455,0,0.636363636,25944.72727,0,209.0909091,108.7272727,2081.545455,4.89E+07,309.4545455,1567438.727,9016.454545,940045.5455,application_1553590289946_8908,3693227
36571.90909,1.68E+10,1.12E+09,8.13E+07,836322.1818,0,0,218.2727273,1.19E+07,992228,11,1828.545455,0,3.454545455,25944.72727,0,280.9090909,41.18181818,1850.909091,7.29E+07,309.4545455,8748240.545,9016.454545,1561585,application_1553590289946_9107,2909506
34488.18182,1.48E+10,1.14E+09,5.66E+07,645369,0,0,32.27272727,4761110.909,922597,11,17193.54545,0,2.454545455,25944.72727,0,208.1818182,108.5454545,597.8181818,3.83E+07,309.4545455,950691.4545,9016.454545,665482,application_1553590289946_9300,5329394
15938.81818,1.09E+10,1.12E+09,1.80E+08,645074.7273,0,0,20.81818182,4851154.909,3525024,11,4067.454545,0,3.454545455,25944.72727,0,208.7272727,107.7272727,957.5454545,1.20E+08,309.4545455,571814.4545,9016.454545,1964928.818,application_1553590289946_9650,8420492
69422.90909,1.64E+10,1.13E+09,6.99E+07,827303.8182,0,0,224.0909091,1.12E+07,886338,11,2109,0,1.363636364,25944.54545,0,285.0909091,45.72727273,1288.363636,6.24E+07,309.4545455,7561163.455,9016.454545,719559.1818,application_1553590289946_10142,3170522
19504.63636,1.45E+10,1.13E+09,6.83E+07,836322.1818,0,0,40.54545455,5929117.364,875197,11,938.8181818,0,2,25944.63636,0,263.7272727,55,1540.818182,5.73E+07,309.4545455,1817567.636,9016.454545,541081.2727,application_1553774930840_0003,2897247
190142,1.56E+10,1.14E+09,7.09E+07,631319.2727,0,0,394.2727273,2.82E+07,979546,11,54933.90909,0,5.818181818,25944.36364,0,298.8181818,18,1916,6.73E+07,309.4545455,1.50E+07,9016.454545,1016403.455,application_1553774930840_0167,3634075
12900.72727,1.02E+10,1.13E+09,5.36E+07,637661.9091,0,0,20.45454545,4735086.182,862553,11,1106.727273,0,0.545454545,25944.72727,0,208.4545455,107.5454545,642.1818182,3.59E+07,309.4545455,650735.3636,9016.454545,487004.0909,application_1553774930840_0353,3870338
82545,1.76E+10,1.14E+09,1.34E+08,836513.3636,0,0,155.2727273,8762621.636,1749966,11,28775.63636,0,1.909090909,22701.72727,0,273.0909091,60,1744,1.12E+08,309.4545455,4894133.545,9016.454545,852392.5455,application_1553774930840_0590,4314522
16781.18182,1.09E+10,1.06E+09,7.78E+07,827566.5455,0,0,21.18181818,5329642.636,1039643,11,4200.363636,0,5.454545455,25944.72727,0,210.1818182,108.6363636,1163.454545,5.34E+07,309.4545455,753243.4545,9016.454545,1387284.727,application_1553774930840_0847,7400440
142955.1818,1.68E+10,1.13E+09,5.62E+07,657526.6364,0,0,277,1.21E+07,885001,11,4053.545455,0,2.363636364,25944.45455,0,288.6363636,45.63636364,1213,5.21E+07,309.4545455,1.12E+07,9016.454545,625794.4545,application_1553774930840_1298,3521005
19565.18182,1.55E+10,1.13E+09,1.97E+08,836421.7273,0,0,27.27272727,5546333.636,2568682,11,732.9090909,0,3.090909091,25944.72727,0,259.3636364,54.72727273,1239.636364,1.66E+08,309.4545455,933411.6364,9016.454545,985458,application_1553774930840_1511,3208947
252694.3846,1.96E+10,1.43E+09,4874970.692,2438969.769,0,0,724.6153846,5.53E+07,73610,13,59676.23077,0,3.615384615,24697,0,191.4615385,9,210.3076923,4711543.769,196.3846154,7.11E+07,7632.384615,446382.2308,application_1553774930840_1721,7829166
37302.72727,1.20E+10,1.14E+09,6.88E+07,653005.7273,0,0,17.54545455,5001109.455,893400,11,22576.54545,0,1.545454545,25944.72727,0,223.1818182,123.1818182,1724.272727,5.11E+07,309.4545455,6485848.091,9016.454545,700527.7273,application_1553774930840_2201,7575018
147842.7273,1.75E+10,1.13E+09,8.24E+07,827566.5455,0,0,213.7272727,1.05E+07,1105394,11,6156.181818,0,4.818181818,25944.36364,0,281.6363636,42.09090909,1736.272727,7.51E+07,309.4545455,7738584,9016.454545,1795068.455,application_1553774930840_2770,3802026
18814.27273,9.25E+09,9.77E+08,7.10E+07,827303.9091,0,0,14.54545455,5214208.727,895576,11,7332,0,0.636363636,25944.72727,0,208.5454545,107.6363636,1499.454545,4.75E+07,309.4545455,1144518.091,9016.454545,812163.4545,application_1553774930840_2998,5774515
169487.1818,1.86E+10,1.13E+09,4.94E+08,638472.5455,0,0,277.3636364,1.32E+07,8464156,11,6061,0,5.727272727,25943.63636,0,293.1818182,30,1091.363636,4.57E+08,309.4545455,8151108.273,9016.454545,2919054.818,application_1553774930840_3343,3610046
15106,1.17E+10,9.40E+08,7.47E+07,643855.9091,0,0,18.18181818,5277473.909,1016771,11,738.9090909,0,3.272727273,25944.72727,0,208.5454545,107.2727273,1687.727273,4.99E+07,309.4545455,559869.6364,9016.454545,1246869.727,application_1553774930840_3645,7242443
