avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
26845.81818,1.49E+10,1.13E+09,9.56E+07,827303.6364,0,0,48.36363636,6455987.273,895507,11,4079.727273,0,1,25942.72727,0,350.0909091,72.63636364,3336.181818,8.04E+07,417.0909091,4243084.545,9016.454545,1094648.545,application_1561364442838_0088,3960425
40942.09091,1.53E+10,1.13E+09,9.18E+07,638808.3636,0,0,77.36363636,6999274.545,875126,11,9696.181818,0,1.818181818,25942.72727,0,384.5454545,54.36363636,1842.181818,8.11E+07,417.0909091,3354029.182,9016.454545,821665.8182,application_1561364442838_0251,5274949
23352.27273,1.74E+10,9.49E+08,1.48E+08,836559.0909,0,0,22.45454545,5212152.182,1823150,11,956.6363636,0,2.090909091,25942.72727,0,298.4545455,155,2323.818182,1.01E+08,417.0909091,976250.7273,9016.454545,1758190.455,application_1561364442838_0508,4942072
105023.4545,1.68E+10,1.12E+09,9.21E+07,836321.8182,0,0,266.0909091,1.20E+07,875428,11,22700.72727,0,3.727272727,25942.72727,0,398.8181818,42.63636364,2125.272727,8.66E+07,417.0909091,8677235.455,9016.454545,729277.7273,application_1561364442838_0726,5939876
24009.36364,1.87E+10,9.40E+08,9.74E+07,631078.3636,0,0,30.45454545,5197477.818,979347,11,1003.454545,0,2.090909091,25942.72727,0,291.3636364,151.4545455,1863.181818,6.62E+07,417.0909091,793267.2727,9016.454545,1369929.364,application_1561364442838_0944,4911419
18395.63636,1.45E+10,9.47E+08,1.07E+08,629117.1818,0,0,32.27272727,5770132.364,1105401,11,527.8181818,0,5.181818182,25942.72727,0,352.7272727,74.36363636,2570.090909,8.95E+07,417.0909091,549570.3636,9016.454545,2419430.818,application_1561364442838_1137,5448554
30677.72727,1.39E+10,9.61E+08,9.38E+07,827303.6364,0,0,36.27272727,5506578.182,884196,11,12676.54545,0,1.090909091,25942.72727,0,286.9090909,148.7272727,1868.090909,6.23E+07,417.0909091,1596885.727,9016.454545,944187.9091,application_1561364442838_1357,7192833
31288.45455,1.31E+10,1.10E+09,2.06E+08,836321.9091,0,0,45.81818182,5953455.545,1878076,11,15240.81818,0,3.454545455,25942.72727,0,282.6363636,147.0909091,1868.090909,1.40E+08,417.0909091,1149516.545,9016.454545,3144643.273,application_1561364442838_1605,1.12E+07
209681,1.54E+10,1.14E+09,9.82E+07,623538.3636,0,0,401.5454545,1.43E+07,1027602,11,7378.363636,0,7.272727273,22699.81818,0,404.7272727,27.18181818,2412.090909,9.38E+07,417.0909091,7504176.727,9016.454545,1853545.727,application_1561364442838_2023,5314254
101119.8182,1.59E+10,1.13E+09,1.00E+08,827303.6364,0,0,256.5454545,1.09E+07,926183,11,14233.54545,0,1.272727273,25942.72727,0,375.9090909,49.90909091,3211.545455,9.03E+07,417.0909091,8545377.364,9016.454545,1501209.636,application_1561364442838_2788,5317795
17528.90909,1.30E+10,9.40E+08,9.08E+07,827566.4545,0,0,29.90909091,4724962.818,896540,11,629.1818182,0,0.909090909,25942.72727,0,280.8181818,145.1818182,2253,6.05E+07,417.0909091,637349.1818,9016.454545,683297,application_1561364442838_2969,8611489
206733.5455,1.61E+10,1.14E+09,9.44E+07,623778.5455,0,0,302.9090909,1.47E+07,917146,11,11597.72727,0,2.454545455,22699.90909,0,391.0909091,51,2992,8.74E+07,417.0909091,5460724.273,9016.454545,1224158.818,application_1561364442838_3172,6997062
26610.36364,1.13E+10,9.71E+08,1.05E+08,635795.7273,0,0,42.72727273,6237112.364,971660,11,10895.45455,0,0.909090909,25942.72727,0,287.4545455,147.9090909,2606.545455,7.19E+07,417.0909091,1418146.364,9016.454545,2104732.727,application_1561364442838_3304,8773423
92410.36364,1.98E+10,1.12E+09,9.42E+07,836559,0,0,177.6363636,8488018.091,922597,11,3106.636364,0,2.454545455,25942.72727,0,367,88,1913.818182,8.03E+07,417.0909091,3832962.545,9016.454545,896950.7273,application_1561364442838_3697,5220294
18529.09091,1.46E+10,9.40E+08,9.59E+07,636726.0909,0,0,41.72727273,5061931.636,920786,11,1041.636364,0,2.363636364,25942.72727,0,291.3636364,150.5454545,1315.636364,6.47E+07,417.0909091,3573388.636,9016.454545,1267013.273,application_1561364442838_3927,5171221
73242.27273,1.77E+10,1.13E+09,9.10E+07,827566.4545,0,0,220.1818182,8375586.909,898691,11,20345,0,4,25942.72727,0,361.3636364,79.54545455,2564.181818,7.67E+07,417.0909091,7051007.455,9016.454545,698625.3636,application_1561364442838_4132,6023964
23304,1.26E+10,9.48E+08,9.44E+07,836582,0,0,25.45454545,4686180.545,924547,11,6726.090909,0,1.363636364,25942.72727,0,292,155.5454545,3139.545455,6.73E+07,417.0909091,630529.3636,9016.454545,914779.7273,application_1561364442838_4415,9980875
84840.81818,1.75E+10,1.12E+09,1.66E+08,632132.7273,0,0,222,1.04E+07,1781664,11,3629.909091,0,2.090909091,25942.81818,0,390.9090909,57.72727273,1458.727273,1.47E+08,417.0909091,1.85E+07,9016.454545,2272824.727,application_1561364442838_4821,4613710
34989.63636,1.76E+10,1.12E+09,1.69E+08,836321.9091,0,0,183.7272727,9311272.091,1906668,11,1386.909091,0,4.545454545,25942.72727,0,364.3636364,79.18181818,2727.909091,1.44E+08,417.0909091,5059164,9016.454545,3487124,application_1561364442838_5710,4142586
17830.36364,1.21E+10,9.40E+08,1.02E+08,827303.6364,0,0,38.27272727,5819982.091,939688,11,1106.909091,0,1.727272727,25942.72727,0,293.6363636,152,2716.454545,6.98E+07,417.0909091,1086922.818,9016.454545,1680555.636,application_1561364442838_5936,5999063
175725.2727,2.00E+10,1.13E+09,1.51E+08,634840,0,0,203.0909091,1.00E+07,1709058,11,44614.54545,0,5.545454545,25942.72727,0,387.1818182,58.72727273,2177.272727,1.34E+08,417.0909091,5014633.818,9016.454545,807589.2727,application_1561364442838_6254,7109459
30606.54545,1.72E+10,1.13E+09,9.37E+07,621732.8182,0,0,43.54545455,6540539.455,956478,11,6540.090909,0,2.909090909,25942.72727,0,380,52.54545455,1900.090909,8.34E+07,417.0909091,676309,9016.454545,1180363.182,application_1561364442838_6616,5269048
21609.18182,1.56E+10,9.40E+08,2.57E+08,836321.9091,0,0,47.81818182,5040180.182,2464674,11,912.5454545,0,1.272727273,25942.72727,0,301.9090909,154.0909091,1535.272727,1.71E+08,417.0909091,1605535,9016.454545,670368.2727,application_1561364442838_6847,4791492
195264.4545,1.67E+10,1.13E+09,9.26E+07,827303.6364,0,0,447.9090909,1.64E+07,876514,11,4711.181818,0,3.272727273,25942.72727,0,404.9090909,23,3463.272727,8.94E+07,417.0909091,1.42E+07,9016.454545,843457.4545,application_1561364442838_7015,5763541
78539.27273,1.90E+10,1.13E+09,1.02E+08,631544.9091,0,0,153.8181818,8813025.182,1039774,11,27644.90909,0,3,25942.72727,0,370.3636364,91.09090909,1788.636364,8.40E+07,417.0909091,5180709.182,9016.454545,1869813.091,application_1561364442838_7217,6344156
18691.63636,1.59E+10,9.46E+08,1.11E+07,641223.6364,0,0,40.18181818,5983627.909,101216,11,865.5454545,0,2,25942.72727,0,268.3636364,58.90909091,19.54545455,9449237.455,312.8181818,1607288,9016.454545,1001012.727,application_1561364442838_7448,4714445
