avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
19391.81818,1.46E+10,1.14E+09,4.74E+07,827303.7273,0,0,223.7272727,1.11E+07,895475,11,1146.363636,0,1,22703.09091,0,177.6363636,39.72727273,1028,3.89E+07,206.5454545,5268557.545,9016.454545,541968.3636,application_1552545431827_6488,1568566
23894.72727,1.46E+10,1.14E+09,4.09E+07,692426.4545,0,0,232.3636364,1.26E+07,875143,11,1331.545455,0,4.818181818,22703,0,188.4545455,30.18181818,751.7272727,3.71E+07,206.5454545,4065669.636,9016.454545,406813.1818,application_1552545431827_6565,1576802
15965,1.42E+10,1.14E+09,8.19E+07,836559.0909,0,0,78.27272727,8683967.818,1823161,11,946.6363636,0,4.545454545,25942.72727,0,152.7272727,76.63636364,44,5.91E+07,206.5454545,1022877.636,9016.454545,870509.5455,application_1552545431827_6689,2263624
37007.63636,1.45E+10,1.14E+09,4.56E+07,836322,0,0,270.9090909,1.60E+07,875075,11,4626,0,4.454545455,22703.09091,0,191.3636364,16.81818182,1326.636364,4.23E+07,206.5454545,1.05E+07,9016.454545,361068.6364,application_1552545431827_6808,1335375
20595,1.84E+10,1.12E+09,4.26E+07,676310.4545,0,0,73.81818182,8591692.727,979455,11,907.4545455,0,3.818181818,25942.72727,0,151.5454545,76.27272727,21.09090909,2.96E+07,206.5454545,869068.1818,9016.454545,678256.7273,application_1552545431827_6913,2387518
10991.27273,1.01E+10,1.13E+09,5.30E+07,673524.0909,0,0,28.09090909,5918991.818,1105454,11,474.3636364,0,4.727272727,25942.72727,0,177.3636364,37.45454545,522.2727273,4.43E+07,206.5454545,660713.5455,9016.454545,1197873.636,application_1552545431827_7074,2149154
20637.09091,1.30E+10,1.14E+09,4.65E+07,827303.7273,0,0,127.0909091,8286440.091,883919,11,6013.181818,0,1.636363636,22703.09091,0,152.3636364,76.45454545,1375.636364,3.28E+07,206.5454545,1699925,9016.454545,467464.1818,application_1552545431827_7240,2846083
20896.81818,1.01E+10,1.14E+09,1.02E+08,836322,0,0,146.0909091,5720824.182,1878088,11,11181.63636,0,3.636363636,25942.72727,0,151.2727273,76.36363636,47.27272727,7.05E+07,206.5454545,1331201.091,9016.454545,1556945.091,application_1552545431827_7454,4346584
134138.4545,1.60E+10,1.14E+09,4.30E+07,668263.6364,0,0,356.5454545,2.96E+07,1027341,11,10469.63636,0,11.18181818,22702.36364,0,197.0909091,11.72727273,890.7272727,4.12E+07,206.5454545,1.41E+07,9016.454545,917730.9091,application_1552545431827_7791,1806931
11089.36364,9.60E+09,1.14E+09,3.99E+07,679431.2727,0,0,20,4340049.818,907135,11,421.6363636,0,1.090909091,25942.72727,0,150.9090909,75.36363636,1080.181818,2.72E+07,206.5454545,626080.4545,9016.454545,380587.1818,application_1552545431827_7898,6021806
