avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
427259.8333,1.07E+11,6.85E+09,5.45E+08,1.90E+08,2.16E+09,3.39E+08,249.5,6.55E+07,8329,6,268089,5427373.167,0.666666667,1820083.333,143683.1667,117.1666667,25.33333333,155047,4.65E+08,137,4.01E+10,1.09E+07,3.22E+07,application_1560445097123_0047,3101129
820991.1667,2.83E+11,1.47E+10,9.05E+08,2.49E+08,1.03E+10,1.00E+09,335.1666667,1.44E+07,8818,6,522216.8333,8743952.833,0.333333333,2083491.333,231486.5,90.83333333,45.83333333,79197.16667,6.29E+08,131.5,8.91E+09,1.27E+07,4.80E+07,application_1560445097123_0457,5742446
543575,1.96E+11,1.34E+08,4.87E+08,1.47E+08,5.35E+09,1.03E+09,223.3333333,1.84E+07,4202,3,307348.6667,0,0.333333333,2778073.667,0,101,52.66666667,68221.66667,3.37E+08,147,8.34E+08,1.12E+07,3.09E+07,application_1560445097123_0749,1.11E+07
473118.5,2.56E+11,5.06E+09,9.07E+08,1.83E+08,6.90E+09,9.46E+08,975.8333333,3.88E+07,8626,6,192455.6667,1.21E+07,0.333333333,1709546.667,320516.6667,110.5,23.16666667,43952.16667,7.83E+08,129,2.93E+08,1.37E+07,6.30E+07,application_1560445097123_1122,3441579
120491,6.31E+10,1.34E+08,7.28E+07,1.51E+08,0,0,415.5,2.73E+07,2678,2,51092,0,1,4167110.5,0,49.5,25,12107.5,4.91E+07,73.5,4.05E+10,7530159,3363062,application_1560445097123_1621,1.09E+07
471859.0417,1.40E+11,1.39E+10,2.40E+08,1.31E+08,1.94E+09,1.92E+08,1110.916667,1.71E+08,34783,24,255951.375,2062462.5,1.625,3328666.208,54166.66667,89.20833333,5.208333333,59626.04167,2.32E+08,92.20833333,1.15E+09,1.01E+07,1.71E+07,application_1560445097123_1970,9047821
133932.5,8.04E+10,6.41E+09,3.24E+08,1.24E+08,1.97E+09,2.24E+08,105,1.29E+07,8913,6,45041.33333,3747455.833,0.333333333,1686660.5,99208.5,97.33333333,49.66666667,19179,2.19E+08,143.5,8.37E+08,9308133.5,2.36E+07,application_1560445097123_2308,3883918
156851.1667,6.93E+10,4.26E+09,3.76E+08,1.68E+08,9.46E+08,1.06E+08,148.1666667,1.34E+07,8891,6,65211.66667,3348832.5,0.333333333,1654998.667,88655.66667,98.83333333,49.83333333,32696,2.55E+08,146,1.92E+09,8851131,2.15E+07,application_1560445097123_2934,3077613
554959.4286,1.11E+11,5.78E+09,1.44E+08,1.04E+08,1.69E+09,2.02E+08,917,1.95E+08,16079,14,332607.4286,2594385.714,0.571428571,3709175,68683,54.85714286,5.928571429,98023.28571,1.37E+08,58.07142857,9.75E+09,7527370.429,1.06E+07,application_1560445097123_3098,9086969
456228.375,1.29E+11,5.66E+09,3.44E+08,1.93E+08,2.55E+09,4.91E+08,430.875,4.30E+07,11690,8,281903.75,3279007.375,0.5,2343975.625,86807.375,88.625,24.25,64200.5,2.80E+08,105.375,1.32E+09,9344127.75,1.76E+07,application_1560445097123_4071,9068325
