avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
45500.16667,2.82E+10,1.41E+09,5.86E+07,5.34E+07,0,0,231.8333333,7.21E+07,8223,6,15969.66667,1063063.833,0.666666667,870749.6667,28739.16667,24.33333333,5,6086.666667,4.99E+07,28.5,7.01E+09,3239310.833,3591008.333,application_1551694466424_0009,311295
44578,2.91E+10,1.07E+09,5.37E+07,5.30E+07,0,0,285,1.25E+08,8264,6,13052.5,790453.3333,0.5,848640.6667,21369.5,30.16666667,4.166666667,6519.5,4.84E+07,33.5,7.26E+09,2990659.333,3051307.167,application_1551694466424_0023,304923
54294.66667,2.99E+10,3.00E+09,8.91E+07,7.14E+07,2.82E+08,3.46E+07,121.1666667,5.36E+07,8753,6,23060.33333,1712511.333,0.666666667,923426.6667,46298.16667,15.83333333,8.333333333,7370.5,6.12E+07,23,3.66E+09,3614149.333,4660045.833,application_1551694466424_0067,410782
45389.33333,2.82E+10,9.53E+08,5.20E+07,5.28E+07,0,0,386.1666667,1.41E+08,8318,6,14042,700592.5,0.5,841352.6667,18940.16667,33.66666667,3.333333333,4448.833333,4.87E+07,36,8.05E+09,2891232.333,2855751.667,application_1551694466424_0089,301513
52790.66667,2.01E+10,1.76E+09,5.59E+07,4.67E+07,0,0,139.5,5.26E+07,8729,6,28885.66667,1340270.333,0.5,893233.6667,36233.83333,17.33333333,8.666666667,6457.666667,3.80E+07,25.5,3.70E+08,3429048.833,4077283.667,application_1551694466424_0126,354722
38171.16667,2.64E+10,3.08E+09,7.42E+07,5.08E+07,0,0,169.3333333,8.17E+07,8733,6,11255.66667,2371134.667,0.666666667,976843.1667,64103.66667,17.5,4.166666667,2874.166667,6.33E+07,20.5,6.86E+07,3816713.833,5566534.167,application_1551694466424_0141,328505
51594.33333,2.74E+10,1.63E+09,5.38E+07,5.12E+07,0,0,171.3333333,6.39E+07,8200,6,23365,906646.3333,0.333333333,858063.6667,24510.5,21.5,11.16666667,5404.666667,3.75E+07,31,1.41E+10,3105514.833,3290856.167,application_1551694466424_0166,436764
49181.16667,3.36E+10,3.97E+09,1.14E+08,7.14E+07,0,0,152.5,6.54E+07,8182,6,13794,3082467,0.5,1034532.167,83333.33333,12.83333333,6.666666667,5007.833333,7.76E+07,19,7.57E+09,3933505.833,6443102,application_1551694466424_0194,444313
43237.66667,2.70E+10,3.16E+09,8.06E+07,4.92E+07,7.59E+07,7829196.5,586.8333333,1.20E+08,8809,6,11516.5,2483619,1.166666667,984532.1667,66666.66667,24.33333333,1.666666667,3322.666667,7.66E+07,25.5,1.39E+08,3836516.333,6234821.167,application_1551694466424_0216,301697
19002.16667,1.49E+10,1.33E+09,3.77E+07,3.78E+07,0,0,114.1666667,5.75E+07,8762,6,4487.333333,733953.3333,0.333333333,844058.6667,19842.16667,24.33333333,12.5,507.5,2.63E+07,35,7.85E+07,2929572.833,2930041,application_1551694466424_0248,541986
43553.66667,2.85E+10,1.92E+09,6.95E+07,5.78E+07,0,0,961.6666667,9.21E+07,8192,6,13045.83333,1467847.167,0.5,903580.1667,39682.66667,22.16666667,3.166666667,4913.666667,6.29E+07,24.5,7.20E+09,3500255.833,4285020.833,application_1551694466424_11053,298113
22591.66667,1.50E+10,8.98E+08,5.32E+07,5.47E+07,0,0,111,5.39E+07,8826,6,7911.5,655891.8333,0.666666667,837728.1667,17732,25.83333333,13.5,2115.833333,3.68E+07,37.5,2.67E+08,2837792.333,2754549.5,application_1551694466424_11066,406177
41669.33333,2.42E+10,1.58E+09,4.84E+07,4.21E+07,0,0,334.3333333,1.40E+08,8288,6,15079,1185614.667,0.666666667,880691.1667,32053,25,2.833333333,5645.666667,4.48E+07,27,1.03E+09,3329874.833,3812849.833,application_1551694466424_11083,290747
46034.83333,3.13E+10,3.61E+09,8.32E+07,6.26E+07,0,0,395.3333333,7.08E+07,8082,6,14230.83333,2069683.333,0.166666667,952380.1667,55949.33333,15.16666667,7.666666667,3268.5,5.90E+07,21.5,5.36E+09,3738481.833,5174734.167,application_1551694466424_11116,413934
44108.5,2.25E+10,1.16E+09,6.35E+07,6.14E+07,0,0,174.6666667,6.61E+07,8867,6,20163.16667,856284.8333,1,853980.6667,23149.5,26.83333333,5.5,3719.5,5.34E+07,32,1.23E+08,3057664.833,3188616.5,application_1551694466424_11132,301150
60865.83333,3.07E+10,2.19E+09,6.39E+07,5.72E+07,0,0,317.3333333,6.31E+07,8240,6,26208.5,1233177.167,0.5,884547.6667,33338.5,18.5,9.833333333,7441.666667,4.48E+07,26.5,8.80E+09,3361886.833,3895502,application_1551694466424_11149,480613
39889.83333,2.04E+10,9.17E+08,5.37E+07,5.49E+07,0,0,267,6.64E+07,8822,6,17817.83333,670178.8333,0.666666667,838884.1667,18117.33333,31.33333333,6.5,5447.666667,4.56E+07,37,2.64E+08,2855402.333,2787452.5,application_1551694466424_11198,277216
25339.5,1.73E+10,1.18E+09,6.44E+07,6.18E+07,0,0,131.1666667,5.52E+07,8906,6,7398,880740.6667,1,855963.6667,23810.5,22.16666667,12.16666667,1705.333333,4.51E+07,31.5,8.89E+07,3081275.833,3238471.833,application_1551694466424_11212,431942
79805.83333,5.55E+10,2.84E+09,1.65E+08,5.97E+07,1.22E+09,2.34E+08,418.1666667,9.17E+07,8206,6,20892.83333,2201780.333,0.833333333,963107.1667,59525.16667,38.5,5.833333333,6259.166667,1.51E+08,42,9.52E+09,3775776.833,1.24E+07,application_1551694466424_11231,533022
28501.5,1.84E+10,2.54E+09,5.70E+07,4.41E+07,0,0,125.3333333,5.58E+07,8758,6,9487.166667,1451166.833,0.5,902098.6667,39188.83333,20.83333333,11,2334,3.98E+07,29,4.05E+07,3491056.833,4567387.833,application_1551694466424_11278,422939
59085.33333,3.90E+10,4.41E+09,1.21E+08,7.21E+07,0,0,224.5,7.68E+07,8178,6,18391.16667,3424933.833,0.5,1062310.667,92592.83333,15.83333333,3.5,5836.166667,1.04E+08,18.5,7.34E+09,3968286.833,6844140,application_1551694466424_11291,389279
43502.83333,2.63E+10,2.86E+09,7.33E+07,5.91E+07,0,0,151.3333333,6.22E+07,8270,6,15041.5,1622394.5,1,916116.6667,43861.5,16,8.333333333,5028.166667,5.01E+07,23.5,1.20E+10,3575217.333,4525101.833,application_1551694466424_11306,404802
