avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
699113,1.69E+11,2.68E+08,4.95E+09,4.65E+07,5.65E+09,3.27E+09,538.6666667,2.27E+08,3775,3,118069.3333,4.76E+09,9.666666667,894785.3333,4.76E+07,220,49.33333333,350174.6667,4.01E+09,259,5.58E+09,447392.6667,4.76E+07,application_1567452407270_0035,2541561
165822.7143,1.55E+09,9.40E+08,0,5.08E+07,0,0,232.2857143,1.20E+08,7348,7,62.42857143,0,1,1342178,0,0,0,0,0,0,2.42E+08,1150438.286,0,application_1567452407270_0143,5087343
900235,2.15E+11,2.68E+08,5.04E+09,4.74E+07,9.75E+09,4.92E+09,246.6666667,1.54E+08,4806,3,205957.3333,4.76E+09,1,894785.3333,4.76E+07,153,109.3333333,173121.6667,2.92E+09,259,1.98E+09,447392.6667,4.76E+07,application_1567452407270_0337,3431752
520375.3333,1.93E+11,2.68E+08,2.10E+09,1.97E+07,8.46E+09,2.12E+09,209.3333333,1.51E+08,4806,3,163059.3333,4.76E+09,0.666666667,894785.3333,4.76E+07,194,101.6666667,163613.6667,1.57E+09,259,8.31E+07,447392.6667,4.76E+07,application_1567452407270_0693,2112782
954329.6667,2.21E+11,2.68E+08,2.61E+09,2.45E+07,8.46E+09,2.59E+09,301.3333333,1.67E+08,4806,3,139747.3333,4.76E+09,1.333333333,894785.3333,4.76E+07,206,53,123067.6667,2.06E+09,259,1.51E+08,447392.6667,4.76E+07,application_1567452407270_0771,3256663
120310,1.37E+09,2.68E+08,0,6.98E+07,0,0,385.5,3.34E+08,2433,2,113,0,0.5,1342178,0,0,0,0,0,0,2.65E+09,671089,0,application_1567452407270_0934,7408789
443971.75,2.24E+09,1.61E+09,0,5.43E+07,0,0,1756.916667,6.74E+07,14304,12,765.9166667,0,1.083333333,1342178,0,0,0,0,0,0,7.71E+09,1230329.833,0,application_1567452407270_1648,1911615
527794.6667,2.52E+11,2.68E+08,2.33E+09,2.19E+07,9.83E+09,2.39E+09,210,1.55E+08,4806,3,165968.3333,4.76E+09,1.333333333,894785.3333,4.76E+07,175,91,104814,1.51E+09,259,8.07E+07,447392.6667,4.76E+07,application_1567452407270_1719,1846007
235304,1.34E+09,4.03E+08,0,9.31E+07,0,0,499,2.83E+08,3416,3,104.6666667,0,1,1342178,0,0,0,0,0,0,2.27E+10,894785.3333,0,application_1567452407270_1799,7413852
739170.3333,1.71E+11,2.68E+08,4.95E+09,4.65E+07,7.78E+09,4.54E+09,277.6666667,1.54E+08,4806,3,107841.6667,4.76E+09,1,894785.3333,4.76E+07,186.6666667,96.66666667,276384,3.34E+09,259,3.00E+08,447392.6667,4.76E+07,application_1567452407270_2112,2596796
1768875,2.05E+11,2.68E+08,2.58E+09,2.43E+07,5.80E+09,1.80E+09,688.6666667,3.02E+08,3842,3,1225601.667,4.76E+09,1,894785.3333,4.76E+07,241,25.66666667,281154,2.37E+09,259,7.89E+08,447392.6667,4.76E+07,application_1567452407270_2247,5890687
28949.5,1.39E+09,5.37E+08,0,4.44E+07,0,0,202.75,1.61E+08,4399,4,58.25,0,0.25,1342178,0,0,0,0,0,0,1.72E+08,1006633.5,0,application_1567452407270_2555,7495007
1231555,2.07E+11,2.68E+08,5.04E+09,4.74E+07,8.66E+09,4.74E+09,1871.333333,1.62E+08,4806,3,147171.3333,4.76E+09,1.333333333,894785.3333,4.76E+07,207,53.33333333,189169.3333,4.04E+09,259,1.51E+10,447392.6667,4.76E+07,application_1567452407270_2877,4352539
568997,2.42E+11,2.68E+08,2.33E+09,2.19E+07,8.00E+09,1.96E+09,280.3333333,2.19E+08,3884,3,189047,4.76E+09,4.666666667,894785.3333,4.76E+07,175.3333333,91,121793.6667,1.51E+09,259,9.43E+07,447392.6667,4.76E+07,application_1567452407270_3091,1978724
178318,1.24E+09,2.68E+08,0,6.98E+07,0,0,415,2.48E+08,3261,2,96,0,1.5,1342178,0,0,0,0,0,0,5.10E+09,671089,0,application_1567452407270_3211,7427520
831791.3333,1.94E+11,2.68E+08,5.04E+09,4.74E+07,6.80E+09,3.95E+09,251,1.50E+08,4806,3,213029,4.76E+09,0.666666667,894785.3333,4.76E+07,183.3333333,95.33333333,290297.6667,3.34E+09,259,2.32E+08,447392.6667,4.76E+07,application_1567452407270_3507,3245885
496805.3333,1.97E+11,2.68E+08,2.32E+09,2.18E+07,8.02E+09,2.46E+09,477,2.69E+08,3775,3,61977.33333,4.76E+09,0.666666667,894785.3333,4.76E+07,234,34,133863,2.09E+09,259,1.68E+08,447392.6667,4.76E+07,application_1567452407270_3630,2109121
7332.333333,1.20E+09,4.03E+08,0,4.87E+07,0,0,223.6666667,1.50E+08,4318,3,51.33333333,0,1,1342178,0,0,0,0,0,0,8.23E+07,894785.3333,0,application_1567452407270_3688,7437407
1292452.667,1.99E+11,2.68E+08,5.04E+09,4.74E+07,8.66E+09,4.74E+09,397,2.38E+08,3842,3,132491,4.76E+09,59,894785.3333,4.76E+07,205.6666667,59,155177,4.01E+09,259,1.59E+09,447392.6667,4.76E+07,application_1567452407270_4036,4802415
43991.2,8.81E+08,5.37E+08,0,8.38E+07,0,0,162.4,1.29E+08,4399,5,69.4,0,0.4,1073742.4,0,0,0,0,0,0,5.35E+08,805306.8,0,application_1567452407270_4257,6045324
129982,2.15E+09,2.68E+08,0,2.97E+07,0,0,521,2.61E+08,3304,2,154,0,1.5,1342178,0,0,0,0,0,0,1.09E+09,671089,0,application_1567452407270_4520,7537989
784777,2.12E+11,2.68E+08,5.04E+09,4.74E+07,9.45E+09,4.62E+09,377.6666667,2.26E+08,3842,3,231690,4.76E+09,1,894785.3333,4.76E+07,188.6666667,97.33333333,259225.3333,3.67E+09,259,3.50E+08,447392.6667,4.76E+07,application_1567452407270_5198,3094417
476325.1,1.39E+09,1.34E+09,0,1.26E+08,0,0,2541.4,1.16E+08,10297,10,416,0,0.1,1342178,0,0,0,0,0,0,3.60E+11,1207960.2,0,application_1567452407270_5295,2886454
217887.8333,2.98E+09,8.05E+08,0,5.48E+07,0,0,167.5,7.97E+07,7489,6,122.6666667,0,1.166666667,1342178,0,0,0,0,0,0,5.05E+08,1118481.667,0,application_1567452407270_5362,7595682
581408.6667,2.26E+11,2.68E+08,2.10E+09,1.98E+07,8.93E+09,2.13E+09,363.3333333,2.49E+08,3842,3,127939.3333,4.76E+09,1.333333333,894785.3333,4.76E+07,217.3333333,44.66666667,225052.6667,1.76E+09,259,9.86E+07,447392.6667,4.76E+07,application_1567452407270_5632,3077269
121669,1.15E+09,4.03E+08,0,9.31E+07,0,0,203.6666667,1.41E+08,4318,3,153.6666667,0,1.333333333,1342178,0,0,0,0,0,0,8.97E+08,894785.3333,0,application_1567452407270_5728,7373882
675835,1.95E+11,2.68E+08,5.04E+09,4.74E+07,7.07E+09,3.96E+09,438,2.03E+08,4807,3,154985,4.76E+09,1.666666667,894785.3333,4.76E+07,249.6666667,21,223261,4.71E+09,259,1.84E+09,447392.6667,4.76E+07,application_1567452407270_5903,2707681
430027.3333,1.79E+11,2.68E+08,2.59E+09,2.44E+07,7.85E+09,2.51E+09,343.6666667,2.19E+08,3775,3,118017.3333,4.76E+09,0.666666667,894785.3333,4.76E+07,188.3333333,100,109829.6667,1.76E+09,259,5.20E+07,447392.6667,4.76E+07,application_1567452407270_5981,1704122
897709.3333,2.32E+11,2.68E+08,2.32E+09,2.18E+07,7.83E+09,2.30E+09,385.6666667,2.42E+08,3775,3,187245.3333,4.76E+09,3.666666667,894785.3333,4.76E+07,206.3333333,54.33333333,89420,1.83E+09,259,1.48E+08,447392.6667,4.76E+07,application_1567452407270_6048,3082616
170595.5,1.61E+09,2.68E+08,0,7.11E+07,0,0,325.5,2.25E+08,3261,2,74,0,0.5,1342178,0,0,0,0,0,0,3.03E+09,671089,0,application_1567452407270_6126,7396976
