avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
105978,2.43E+09,1.34E+08,1299791.5,7327.5,0,0,205,1.53E+07,2475,2,486,718.5,0.5,99918.5,22.5,1719.5,380.5,585,1065337.5,1924,224081.5,500,86580,application_1562860412721_0005,2447252
108253,2.37E+09,1.34E+08,984013,7766.5,0,0,104,1.78E+07,2485,2,492,537.5,1.5,99918,16.5,1792.5,259.5,991,915465,1924,289609,500,63492,application_1562860412721_0149,2534774
30683.5,2.47E+09,1.34E+08,1999757.5,7827.5,0,0,197.5,1.28E+07,2741,2,119,1028,0.5,99918.5,33,1394.5,699,335,1276892.5,1924,172378.5,500,126984,application_1562860412721_0299,1943123
201661,2.00E+09,1.34E+08,915306,7827.5,0,0,169.5,1.75E+07,2500,2,642,477,0.5,99918,14.5,1825.5,228.5,1908.5,830142,1924,255064.5,500,55796,application_1562860412721_0450,4889477
24529.5,2.33E+09,1.34E+08,1512246,7555.5,0,0,93.5,1.45E+07,2746,2,151.5,823.5,0.5,99918.5,26.5,1350,675.5,1440,1036267.5,1924,203159,500,101972,application_1562860412721_0711,1969583
41021,2.12E+09,1.34E+08,2481827,7386.5,0,0,114.5,1.48E+07,2736,2,227.5,1378,1,99918.5,45,1712,378.5,571.5,2108826.5,1924,169946,500,173160,application_1562860412721_0881,2035257
57794.5,2.26E+09,1.34E+08,1120952,7327.5,0,0,193,1.25E+07,2480,2,124.5,634.5,1,99918.5,20,1404,703.5,783,817972,1924,204271,500,76960,application_1562860412721_1020,2029642
9675,2.04E+09,1.34E+08,3570722,7827.5,0,0,119,1.47E+07,2466,2,55,1793.5,0.5,99918.5,58,1296.5,669,625.5,2329085,1924,133356,500,223184,application_1562860412721_1135,1644496
355232.5,2.21E+09,1.34E+08,1255928.5,7663.5,0,0,1103,2.30E+07,2755,2,1026,697,14,99917.5,22,1864.5,112.5,2334.5,1190796,1924,267978.5,500,84656,application_1562860412721_1207,2977444
4086,1.89E+09,1.34E+08,865465.5,7489,0,0,93,1.08E+07,2765,2,20.5,495.5,0.5,99918.5,15.5,1300,676,781.5,584716,1924,201418,500,59644,application_1562860412721_1363,1425259
199536,1.93E+09,1.34E+08,1649719,7327.5,0,0,206,1.73E+07,2467,2,544.5,907,0.5,99918.5,29,1778,291.5,1597,1515558,1924,176286,500,111592,application_1562860412721_1446,4844943
6361.5,1.83E+09,1.34E+08,769082,7327.5,0,0,173,1.10E+07,2770,2,25,453,1,99918.5,14,1300,676,1147,511862.5,1924,201028.5,500,53872,application_1562860412721_1686,1296491
188167,2.05E+09,1.34E+08,1467647,7883.5,0,0,142.5,1.80E+07,2482,2,703.5,777,0.5,99918.5,24.5,1801.5,232.5,1562.5,1304839,1924,227792.5,500,94276,application_1562860412721_1739,4040131
13214,2.10E+09,1.34E+08,2194753.5,7440,0,0,116,1.29E+07,2418,2,82.5,1200.5,0,99918.5,38,1338,669.5,2652.5,1525733.5,1924,154358,500,146224,application_1562860412721_1918,1836051
201399,1.92E+09,1.34E+08,1128722,7827.5,0,0,99.5,1.37E+07,2759,2,440.5,601.5,1,99918.5,19,1688.5,414,1770,948657,1924,210948.5,500,73112,application_1562860412721_2024,4774933
