avgExecutorRunTime , avgexecutorCpuTime , InputBytes , avgShuffleReadBytes ,avgShuffleWriteBytes , avgMemoryBytesSpilled ,avgDiskBytesSpilled ,avgExecutorDeserializeTime , avgExecutorDeserializeCPUTime ,avgResultSize , numberOfStages,avgGCTime ,avgOutSize , avgResultSerTime , avgInputRecordsRead, avgOutputRecordsWritten, avgShuffleRemoteBlocksFetched, avgShuffleLocalBlocksFetched, avgShuffleFetchWaitTime, avgShuffleRemoteBytesRead , avgShuffleTotalBlocksFetched ,avgShuffleWriteTime,avgShuffleWriteRecords ,avgShuffleReadRecords , AppId , Exec_time
55107.5,2.48E+09,1.34E+08,837069.5,7327.5,0,0,119.5,1.57E+07,2475,2,380,718.5,0.5,99918.5,22.5,1086,242,535.5,673590,1239.5,240314.5,500,55777.5,application_1554114989882_0087,1186967
95898,2.34E+09,1.34E+08,633613,7766,0,0,164,1.54E+07,2485,2,463,537.5,5.5,99918.5,16.5,1152.5,177.5,715,585281,1239.5,304301.5,500,40903.5,application_1554114989882_0161,1388177
21413.5,2.45E+09,1.34E+08,1287877.5,7827.5,0,0,107.5,1.39E+07,2741,2,185,1028,1,99918.5,33,908,470.5,247,943475,1239.5,183114,500,81807,application_1554114989882_0255,1141272
197451.5,2.04E+09,1.34E+08,589484,7827.5,0,0,155,1.88E+07,2500,2,611,477,4,99918,14.5,1171,136,1255,540974,1239.5,267095,500,35945.5,application_1554114989882_0323,3231730
58038.5,2.33E+09,1.34E+08,973974.5,7555,0,0,110,1.30E+07,2746,2,323.5,823.5,1,99918.5,26.5,938,483,1083,719738,1239.5,215001,500,65693.5,application_1554114989882_0449,1264652
17300.5,2.02E+09,1.34E+08,1598376.5,7386,0,0,125,1.51E+07,2736,2,261.5,1378,5,99918.5,45,1097.5,250.5,441.5,1403073,1239.5,179525.5,500,111555,application_1554114989882_0495,1101427
57682.5,2.19E+09,1.34E+08,721888.5,7327.5,0,0,282,1.32E+07,2480,2,280.5,634.5,0.5,99918.5,20,932,488,1784.5,542856,1239.5,216663.5,500,49580,application_1554114989882_0548,1244941
9394,1.95E+09,1.34E+08,2299605.5,7827.5,0,0,164,1.59E+07,2466,2,139.5,1793.5,0.5,99918.5,58,862,448,628,1599226,1239.5,141882.5,500,143782,application_1554114989882_0618,1002955
173322.5,2.18E+09,1.34E+08,809258,7664.5,0,0,1327,2.70E+07,2796,2,1148.5,697,4.5,99918.5,22,1199,85.5,1254.5,781846.5,1239.5,279098.5,500,54538,application_1554114989882_0689,1801605
3256.5,1.85E+09,1.34E+08,557518,7489,0,0,135.5,1.07E+07,2765,2,103.5,495.5,0.5,99918.5,15.5,837.5,435.5,560,365650,1239.5,208701,500,38424.5,application_1554114989882_0798,947274
174746.5,2.09E+09,1.34E+08,1062418,7327.5,0,0,99,1.71E+07,2467,2,535.5,907,1,99918.5,29,1150,177,739.5,982798,1239.5,193733.5,500,71891,application_1554114989882_0840,2840436
