spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size
9,24,28,29,FALSE,505,0.75,0.75,65,FALSE,65,550,505,3,0.5,65,lzf,65,65,FALSE,1280,65,275,1350000,5,FALSE,FALSE,FALSE,FALSE,org.apache.spark.serializer.KryoSerializer,178103,bayes,application_1562143184407_0013,bigdata_q
6,14,18,39,FALSE,752,0.875,0.625,96,TRUE,96,325,752,4,0.25,96,snappy,96,33,FALSE,1664,96,162,1325000,3,TRUE,FALSE,FALSE,TRUE,org.apache.spark.serializer.KryoSerializer,179966,bayes,application_1562143184407_0022,bigdata_q
12,33,38,18,TRUE,257,0.625,0.875,33,FALSE,33,775,257,2,0.75,33,lz4,33,96,TRUE,896,33,387,1375000,7,FALSE,TRUE,TRUE,FALSE,org.apache.spark.serializer.JavaSerializer,199620,bayes,application_1562143184407_0029,bigdata_q
7,9,13,44,FALSE,628,0.9375,0.9375,17,TRUE,80,662,133,2.5,0.375,49,lzf,112,112,TRUE,1472,49,331,1312500,4,FALSE,TRUE,TRUE,FALSE,org.apache.spark.serializer.KryoSerializer,174564,bayes,application_1562143184407_0057,bigdata_q
14,28,33,23,TRUE,133,0.6875,0.6875,80,FALSE,17,212,628,4.5,0.875,112,snappy,49,49,FALSE,704,112,106,1362500,8,TRUE,FALSE,FALSE,TRUE,org.apache.spark.serializer.JavaSerializer,197336,bayes,application_1562143184407_0064,bigdata_q
4,19,23,13,FALSE,381,0.5625,0.8125,112,FALSE,49,887,876,3.5,0.125,80,lz4,17,80,TRUE,1088,80,443,1337500,2,TRUE,TRUE,TRUE,TRUE,org.apache.spark.serializer.JavaSerializer,214248,bayes,application_1562143184407_0072,bigdata_q
11,38,43,34,TRUE,876,0.8125,0.5625,49,TRUE,112,437,381,1.5,0.625,17,lzf,80,17,FALSE,1856,17,218,1387500,6,FALSE,FALSE,FALSE,FALSE,org.apache.spark.serializer.KryoSerializer,203447,bayes,application_1562143184407_0077,bigdata_q
7,26,15,10,FALSE,814,0.96875,0.90625,88,FALSE,25,268,71,1.25,0.0625,25,lz4,72,25,TRUE,992,88,471,1368750,7,FALSE,FALSE,FALSE,TRUE,org.apache.spark.serializer.KryoSerializer,231699,bayes,application_1562143184407_0086,bigdata_q
13,7,35,31,TRUE,319,0.71875,0.65625,25,TRUE,88,718,566,3.25,0.5625,88,snappy,9,88,FALSE,1760,25,246,1318750,2,TRUE,TRUE,TRUE,FALSE,org.apache.spark.serializer.JavaSerializer,187381,bayes,application_1562143184407_0095,bigdata_q
3,35,25,42,FALSE,71,0.59375,0.78125,57,TRUE,120,493,814,4.25,0.3125,120,lzf,41,57,TRUE,1376,57,359,1393750,9,TRUE,FALSE,FALSE,FALSE,org.apache.spark.serializer.JavaSerializer,463670,bayes,application_1562143184407_0121,bigdata_q
10,16,45,21,TRUE,566,0.84375,0.53125,120,FALSE,57,943,319,2.25,0.8125,57,snappy,104,120,FALSE,608,120,134,1343750,4,FALSE,TRUE,TRUE,TRUE,org.apache.spark.serializer.KryoSerializer,177927,bayes,application_1562143184407_0133,bigdata_q
