spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size
9,24,28,29,0,505,0.75,0.75,65,0,65,550,505,3,0.5,65,1,65,65,0,1280,65,275,1350000,5,0,0,0,0,2,1193018,wordcount,application_1554114989882_0087,gigantic
6,14,18,39,0,752,0.875,0.625,96,1,96,325,752,4,0.25,96,3,96,33,0,1664,96,162,1325000,3,1,0,0,1,2,1394246,wordcount,application_1554114989882_0161,gigantic
12,33,38,18,1,257,0.625,0.875,33,0,33,775,257,2,0.75,33,2,33,96,1,896,33,387,1375000,7,0,1,1,0,1,1147360,wordcount,application_1554114989882_0255,gigantic
7,9,13,44,0,628,0.9375,0.9375,17,1,80,662,133,2.5,0.375,49,1,112,112,1,1472,49,331,1312500,4,0,1,1,0,2,3237819,wordcount,application_1554114989882_0323,gigantic
14,28,33,23,1,133,0.6875,0.6875,80,0,17,212,628,4.5,0.875,112,3,49,49,0,704,112,106,1362500,8,1,0,0,1,1,1270668,wordcount,application_1554114989882_0449,gigantic
4,19,23,13,0,381,0.5625,0.8125,112,0,49,887,876,3.5,0.125,80,2,17,80,1,1088,80,443,1337500,2,1,1,1,1,1,1107474,wordcount,application_1554114989882_0495,gigantic
11,38,43,34,1,876,0.8125,0.5625,49,1,112,437,381,1.5,0.625,17,1,80,17,0,1856,17,218,1387500,6,0,0,0,0,2,1251073,wordcount,application_1554114989882_0548,gigantic
7,26,15,10,0,814,0.96875,0.90625,88,0,25,268,71,1.25,0.0625,25,2,72,25,1,992,88,471,1368750,7,0,0,0,1,2,1009029,wordcount,application_1554114989882_0618,gigantic
13,7,35,31,1,319,0.71875,0.65625,25,1,88,718,566,3.25,0.5625,88,3,9,88,0,1760,25,246,1318750,2,1,1,1,0,1,1807648,wordcount,application_1554114989882_0689,gigantic
3,35,25,42,0,71,0.59375,0.78125,57,1,120,493,814,4.25,0.3125,120,1,41,57,1,1376,57,359,1393750,9,1,0,0,0,1,953432,wordcount,application_1554114989882_0798,gigantic
10,16,45,21,1,566,0.84375,0.53125,120,0,57,943,319,2.25,0.8125,57,3,104,120,0,608,120,134,1343750,4,0,1,1,1,2,2846520,wordcount,application_1554114989882_0840,gigantic
5,31,10,47,0,443,0.53125,0.59375,72,1,72,606,195,2.75,0.4375,41,1,57,104,0,1952,104,190,1356250,8,0,1,1,1,1,820689,wordcount,application_1554114989882_1008,gigantic
11,12,30,26,1,938,0.78125,0.84375,9,0,9,156,690,4.75,0.9375,104,2,120,41,1,1184,41,415,1306250,3,1,0,0,0,2,2698013,wordcount,application_1554114989882_1028,gigantic
8,40,20,15,0,690,0.90625,0.71875,41,0,41,831,938,3.75,0.1875,72,3,88,72,0,800,9,78,1381250,6,1,1,1,0,2,1003733,wordcount,application_1554114989882_1168,gigantic
15,21,40,36,1,195,0.65625,0.96875,104,1,104,381,443,1.75,0.6875,9,2,25,9,1,1568,72,303,1331250,1,0,0,0,1,1,2790428,wordcount,application_1554114989882_1217,gigantic
9,37,39,25,0,845,0.671875,0.734375,68,1,13,803,535,2.375,0.53125,13,1,37,45,1,1808,21,429,1340625,4,1,1,0,0,2,1169799,wordcount,application_1554114989882_1409,gigantic
15,18,19,46,1,350,0.921875,0.984375,5,0,76,353,40,4.375,0.03125,76,2,100,108,0,1040,84,204,1390625,9,0,0,1,1,1,2692899,wordcount,application_1554114989882_1461,gigantic
5,27,29,35,0,102,0.796875,0.609375,37,0,108,578,288,3.375,0.78125,108,3,68,13,1,656,116,317,1315625,2,0,1,0,1,1,830710,wordcount,application_1554114989882_1602,gigantic
12,8,9,14,1,597,0.546875,0.859375,100,1,45,128,783,1.375,0.28125,45,1,5,76,0,1424,53,92,1365625,6,1,0,1,0,2,2957015,wordcount,application_1554114989882_1666,gigantic
4,41,44,30,0,474,0.859375,0.796875,84,0,92,465,659,1.875,0.90625,61,2,84,92,0,1232,37,260,1328125,1,1,0,1,0,1,819332,wordcount,application_1554114989882_1832,gigantic
10,22,24,9,1,969,0.609375,0.546875,21,1,29,915,164,3.875,0.40625,124,3,21,29,1,2000,100,485,1378125,5,0,1,0,1,2,1435364,wordcount,application_1554114989882_1892,gigantic
7,32,34,19,0,721,0.734375,0.921875,53,1,61,240,412,4.875,0.65625,92,1,53,124,0,1616,68,148,1303125,3,0,0,1,1,2,1099170,wordcount,application_1554114989882_1948,gigantic
13,13,14,40,1,226,0.984375,0.671875,116,0,124,690,907,2.875,0.15625,29,3,116,61,1,848,5,373,1353125,8,1,1,0,0,1,2928383,wordcount,application_1554114989882_2034,gigantic
5,15,46,27,0,40,0.828125,0.828125,29,1,21,971,597,2.125,0.59375,21,2,108,53,0,1328,76,120,1384375,8,1,1,0,1,1,1086743,wordcount,application_1554114989882_2227,gigantic
11,34,26,48,1,535,0.578125,0.578125,92,0,84,521,102,4.125,0.09375,84,3,45,116,1,560,13,345,1334375,4,0,0,1,0,2,1255589,wordcount,application_1554114989882_2273,gigantic
