spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size,,
8,24,161,29,0,505,0.75,0.75,65,0,65,550,505,3,0.5,65,2,65,65,0,68,65,275,260,5,0,0,0,0,2,218492,bayes,application_1540980293743_2263,bigdata,,
4,14,90,39,0,752,0.875,0.625,96,1,96,325,752,4,0.25,96,1,96,33,0,98,96,162,140,3,1,0,0,1,2,187837,bayes,application_1540980293743_2264,bigdata,,
12,33,232,18,1,257,0.625,0.875,33,0,33,775,257,2,0.75,33,3,33,96,1,38,33,387,380,7,0,1,1,0,1,200765,bayes,application_1540980293743_2265,bigdata,,
6,9,54,44,0,628,0.9375,0.9375,17,1,80,662,133,2.5,0.375,49,2,112,112,1,83,49,331,80,4,0,1,1,0,2,171950,bayes,application_1540980293743_2266,bigdata,,
14,28,197,23,1,133,0.6875,0.6875,80,0,17,212,628,4.5,0.875,112,1,49,49,0,23,112,106,320,8,1,0,0,1,1,177297,bayes,application_1540980293743_2267,bigdata,21947438,365.7906333
2,19,125,13,0,381,0.5625,0.8125,112,0,49,887,876,3.5,0.125,80,3,17,80,1,53,80,443,200,2,1,1,1,1,1,319634,bayes,application_1540980293743_2268,bigdata,,
10,38,268,34,1,876,0.8125,0.5625,49,1,112,437,381,1.5,0.625,17,2,80,17,0,113,17,218,440,6,0,0,0,0,2,202432,bayes,application_1540980293743_2269,bigdata,,
5,26,72,10,0,814,0.96875,0.90625,88,0,25,268,71,1.25,0.0625,25,3,72,25,1,45,88,471,350,7,0,0,0,1,2,286831,bayes,application_1540980293743_2270,bigdata,,
13,7,214,31,1,319,0.71875,0.65625,25,1,88,718,566,3.25,0.5625,88,1,9,88,0,105,25,246,110,2,1,1,1,0,1,175390,bayes,application_1540980293743_2271,bigdata,,
1,35,143,42,0,71,0.59375,0.78125,57,1,120,493,814,4.25,0.3125,120,2,41,57,1,75,57,359,470,9,1,0,0,0,1,1176328,bayes,application_1540980293743_2272,bigdata,,
9,16,286,21,1,566,0.84375,0.53125,120,0,57,943,319,2.25,0.8125,57,1,104,120,0,15,120,134,230,4,0,1,1,1,2,178895,bayes,application_1540980293743_2273,bigdata,,
3,31,36,47,0,443,0.53125,0.59375,72,1,72,606,195,2.75,0.4375,41,2,57,104,0,120,104,190,290,8,0,1,1,1,1,409746,bayes,application_1540980293743_2274,bigdata,,
11,12,179,26,1,938,0.78125,0.84375,9,0,9,156,690,4.75,0.9375,104,3,120,41,1,60,41,415,50,3,1,0,0,0,2,158614,bayes,application_1540980293743_2275,bigdata,,
7,40,108,15,0,690,0.90625,0.71875,41,0,41,831,938,3.75,0.1875,72,1,88,72,0,30,9,78,410,6,1,1,1,0,2,238219,bayes,application_1540980293743_2276,bigdata,,
15,21,250,36,1,195,0.65625,0.96875,104,1,104,381,443,1.75,0.6875,9,3,25,9,1,90,72,303,170,1,0,0,0,1,1,158076,bayes,application_1540980293743_2277,bigdata,,
8,37,241,25,0,845,0.671875,0.734375,68,1,13,803,535,2.375,0.53125,13,2,37,45,1,109,21,429,215,4,1,1,0,0,2,210802,bayes,application_1540980293743_2278,bigdata,,
15,18,99,46,1,350,0.921875,0.984375,5,0,76,353,40,4.375,0.03125,76,3,100,108,0,49,84,204,455,9,0,0,1,1,1,155808,bayes,application_1540980293743_2279,bigdata,,
4,27,170,35,0,102,0.796875,0.609375,37,0,108,578,288,3.375,0.78125,108,1,68,13,1,19,116,317,95,2,0,1,0,1,1,302002,bayes,application_1540980293743_2280,bigdata,,
11,8,27,14,1,597,0.546875,0.859375,100,1,45,128,783,1.375,0.28125,45,2,5,76,0,79,53,92,335,6,1,0,1,0,2,381490,bayes,application_1540980293743_2281,bigdata,,
2,41,277,30,0,474,0.859375,0.796875,84,0,92,465,659,1.875,0.90625,61,3,84,92,0,64,37,260,155,1,1,0,1,0,1,581407,bayes,application_1540980293743_2282,bigdata,,
9,22,134,9,1,969,0.609375,0.546875,21,1,29,915,164,3.875,0.40625,124,1,21,29,1,124,100,485,395,5,0,1,0,1,2,215582,bayes,application_1540980293743_2283,bigdata,,
6,32,206,19,0,721,0.734375,0.921875,53,1,61,240,412,4.875,0.65625,92,2,53,124,0,94,68,148,35,3,0,0,1,1,2,253400,bayes,application_1540980293743_2284,bigdata,,
13,13,63,40,1,226,0.984375,0.671875,116,0,124,690,907,2.875,0.15625,29,1,116,61,1,34,5,373,275,8,1,1,0,0,1,158767,bayes,application_1540980293743_2285,bigdata,,
3,15,295,27,0,40,0.828125,0.828125,29,1,21,971,597,2.125,0.59375,21,3,108,53,0,71,76,120,425,8,1,1,0,1,1,246837,bayes,application_1540980293743_2286,bigdata,,
10,34,152,48,1,535,0.578125,0.578125,92,0,84,521,102,4.125,0.09375,84,1,45,116,1,11,13,345,185,4,0,0,1,0,2,200806,bayes,application_1540980293743_2287,bigdata,,
7,6,223,38,0,783,0.703125,0.953125,124,0,116,746,350,3.125,0.84375,116,3,13,21,0,41,45,232,305,6,0,1,0,0,2,166779,bayes,application_1540980293743_2288,bigdata,,
14,25,81,17,1,288,0.953125,0.703125,61,1,53,296,845,1.125,0.34375,53,2,76,84,1,101,108,457,65,1,1,0,1,1,1,170621,bayes,application_1540980293743_2289,bigdata,,
5,20,259,32,0,659,0.640625,0.640625,13,0,68,409,721,1.625,0.96875,37,1,29,68,1,26,124,289,485,7,1,0,1,1,2,208323,bayes,application_1540980293743_2290,bigdata,,
12,39,116,11,1,164,0.890625,0.890625,76,1,5,859,226,3.625,0.46875,100,2,92,5,0,86,61,64,245,2,0,1,0,0,1,186729,bayes,application_1540980293743_2291,bigdata,,
1,10,188,22,0,412,0.765625,0.515625,108,1,37,184,474,4.625,0.71875,68,2,124,100,1,116,29,401,365,9,0,0,1,0,1,327952,bayes,application_1540980293743_2292,bigdata,,
8,29,45,43,1,907,0.515625,0.765625,45,0,100,634,969,2.625,0.21875,5,3,61,37,0,56,92,176,125,5,1,1,0,1,2,194487,bayes,application_1540980293743_2293,bigdata,,
4,18,183,9,1,149,0.6953125,0.7265625,35,0,110,198,272,4.8125,0.078125,7,2,90,82,0,81,23,352,297,2,1,1,0,1,2,210964,bayes,application_1540980293743_2294,bigdata,,
12,37,41,30,0,644,0.9453125,0.9765625,98,1,47,648,767,2.8125,0.578125,70,1,27,19,1,21,86,127,57,7,0,0,1,0,1,192355,bayes,application_1540980293743_2295,bigdata,,
1,9,255,41,1,891,0.8203125,0.6015625,66,1,15,423,520,1.8125,0.328125,102,3,59,114,0,51,118,464,417,5,0,1,0,0,1,316114,bayes,application_1540980293743_2296,bigdata,,
